F1,F2,F3,F4,X,Y,TARGET
74,61,35,56,7,85,4
70,25,31,67,7,93,4
66,17,28,72,13,82,4
66,34,34,70,10,88,4
51,45,41,95,9,80,4
66,42,64,64,11,88,4
66,40,31,47,15,88,4
62,37,44,47,13,75,4
77,42,59,43,15,80,4
70,65,59,44,5,85,4
59,60,59,45,10,82,4
70,40,46,32,17,68,4
70,50,54,41,19,81,4
59,52,56,35,15,79,4
70,75,56,43,14,68,4
70,47,51,34,17,94,4
62,47,62,34,-13,47,4
70,40,20,56,-17,44,4
59,44,45,54,-19,45,4
48,67,22,55,-8,33,4
66,40,48,37,-7,48,4
66,40,65,70,-13,32,4
59,52,68,85,-10,25,4
59,50,68,55,-12,32,4
40,25,69,58,-14,29,4
70,27,33,35,-14,50,4
53,43,43,52,-17,47,4
59,40,38,44,-14,46,4
66,30,43,53,-12,41,4
48,40,37,68,-9,33,4
62,32,43,55,-11,38,4
44,37,40,65,-10,35,4
62,32,49,54,-12,40,4
66,32,37,69,-12,39,4
66,35,40,52,-14,50,4
66,35,40,51,-13,47,4
59,32,40,54,-12,46,4
62,40,35,66,-13,47,4
55,32,45,45,-14,51,4
55,35,35,40,-20,55,4
68,37,45,37,-22,57,4
66,35,32,48,-16,46,4
59,40,38,58,-15,40,4
62,32,45,52,-15,45,4
62,40,41,45,-15,44,4
66,32,31,55,-13,40,4
74,32,42,52,-15,47,4
74,30,42,78,-11,39,4
48,35,34,66,-12,40,4
40,30,32,62,20,80,4
55,40,45,62,16,72,4
62,37,27,62,16,72,4
66,32,38,50,17,66,4
66,35,34,62,7,71,4
55,35,38,54,9,76,4
66,37,47,55,17,73,4
50,40,43,44,8,79,4
81,40,37,67,5,86,4
66,55,45,54,10,78,4
62,44,42,65,15,64,4
55,50,49,67,16,73,4
55,30,47,62,16,79,4
62,38,40,50,9,85,4
44,27,59,57,9,101,4
59,36,38,65,11,92,4
59,52,45,67,9,88,4
51,52,58,70,12,94,4
54,38,61,67,7,120,4
54,50,63,88,15,81,4
62,54,51,36,25,78,4
65,31,43,43,33,82,4
62,41,40,51,13,57,4
62,44,39,57,15,63,4
62,47,49,57,13,65,4
57,39,45,51,14,61,4
,,,,-91,121,18
,,,,-133,135,18
,,,,-137,138,18
